ISO3_code,Location,Time,n_male_dependent,n_male_working,n_female_dependent,n_female_working,n_total_dependent,n_total_working,r_male_dependent,r_male_working,r_female_dependent,r_female_working,r_total_dependent,r_total_working,time_period
AUS,Australia,2083,7906795,10316065,8227620.999999999,10042936,16134416.000000002,20359001,0.7664545541347403,1.304708797938988,0.8192445914222692,1.2206366822195627,0.792495466747116,1.2618368709471728,projected
AUS,Australia,2084,7940191,10329524,8258695,10055932,16198886,20385456,0.7686889541086308,1.3009163129703052,0.8212759394156602,1.217617553378591,0.7946295633514404,1.2584480192032956,projected
AUS,Australia,2085,7974192,10342100,8290541.999999999,10067705,16264734,20409805,0.771041858036569,1.2969464492452654,0.8234788365372246,1.2143602915225566,0.7969078587473031,1.2548502176549583,projected
AUS,Australia,2086,8003382,10359759,8317624,10084358,16321006,20444117,0.772545191447021,1.294422657821406,0.8248045140801229,1.2124084955030427,0.7983228622688865,1.2526260329786043,projected
AUS,Australia,2087,8032217,10376128,8344718.999999999,10099714,16376936,20475842,0.7741054273810037,1.2918137047343219,0.8262331982866049,1.2103120548457056,0.7998174629399856,1.2502852792488168,projected
AUS,Australia,2088,8061556,10391852,8372330,10114349,16433885.999999998,20506201,0.7757573914640046,1.2890628062374065,0.8277675607199237,1.2080686021692886,0.8014105586890521,1.2477998812940532,projected
AUS,Australia,2089,8089971,10407673,8399482,10129015,16489453.000000002,20536688,0.7773083378003901,1.2864907673958288,0.8292496358234241,1.205909483465766,0.8029265965378645,1.2454438603876063,projected
AUS,Australia,2090,8118322,10423573,8426669,10143720,16544990.999999998,20567293,0.7788425331697681,1.283956586102399,0.8307276817577772,1.203763907185627,0.8044321146200425,1.24311297600585,projected
AUS,Australia,2091,8147336,10439492,8454597,10158376,16601933,20597868,0.7804341437303655,1.2813380962807965,0.8322784074934813,1.2015210186836818,0.8060024950155037,1.2406909484576283,projected
AUS,Australia,2092,8176488,10455468,8483441,10173071,16659929,20628539,0.7820298431404505,1.2787235791210114,0.833911510103488,1.1991680027007907,0.8076155562931528,1.2382128999469326,projected
AUS,Australia,2093,8206605,10471052,8513235,10187383,16719840,20658435,0.7837421684086756,1.275929815069691,0.8356645666507287,1.1966523888979923,0.8093468842146077,1.2355641561163266,projected
AUS,Australia,2094,8237050.999999999,10487267,8543815,10202302,16780866,20689569,0.7854335166635883,1.273182234758532,0.8374399228723087,1.1941155092894684,0.8110785681422364,1.2329261791375963,projected
AUS,Australia,2095,8266650,10504433,8574012,10218106,16840662,20722539,0.7869677497110029,1.2707001022179483,0.8390999271293527,1.1917531722605472,0.8126736786452664,1.2305061998156606,projected
